"content_id","user_id","name","keyword","price","flag_used","category_id_1","category_id_2","category_id_3","emergency_cnt","comment_cnt","interest","pfavcnt"
121878669,2723062,"[여성용/정품/새제품] 프라다 니트스니커즈 오레오 35/36/37/38","프라다,니트스니커즈,프라다니트스니커즈,프라다스니커즈",649000,2,"405","405200","405200999",0,1,6708,231
123987459,4776936,"[신품반값] 일렉기타/베이스기타 절반가에 팝니다","레스폴,슈퍼스트렛,일렉기타,베이스,전자기타",180000,2,"920","920200","920200200",5,0,13517,428
128419287,1266155,"18k 24k 대나무목걸이 도금목걸이 도금팔찌 금팔찌 금목걸이 도금반지","금목걸이,도금,도금목걸이,24K,대나무목걸이",40000,2,"420","420200","420200999",2,0,14642,152
137622872,3648046,"라이젠4 5600X, GTX960~RTX3080TI 게이밍 본체","게이밍,라이젠4세대,5600X,RTX3070,RTX3060TI",580000,2,"600","600100","600100006",4,7,28686,155
139942535,3030448,"[대구/경산]  사진과 동일한 휠 대품시 40만원","대구경북중고휠,제네시스19인치,그랜져19인치,K719인치,순정휠19인치",400000,1,"750","750610","750610100",0,0,9771,28
139128764,12851816,"#당일발송#아이폰12 64G/128G/256G 등급별초특가!최가중고폰!","아이폰12중고폰,아이폰12공기계,아이폰12,아이폰12중고",629000,1,"600","600700","600700001",0,6,22132,681
147604755,5077996,"(무료배송)1인용 , 2인용  고밀도면 이불세트","이불,면이불,차렵이불,싱글이불,사계절이불",97000,2,"810","810100","810100400",0,0,277,7
152714205,2347538,"#당일발송#LG V30 64G 대량판매 등급별초특가!","엘지V30,V30중고폰,V30공기계,LGV30공기계",75000,1,"600","600700","600700001",0,0,832,11
152773547,10557962,"싼타페TM 캘리그라피 20인치 순정 임판휠","싼타페,싼타페TM,싼타페캘리그라피,순정휠,임판휠",440000,1,"750","750610","750610100",0,3,273,4
152625819,2347538,"#당일발송#S10 5G 256G 대량판매 등급별 초특가!!","s105g중고폰,s105g공기계,s105g,갤럭시s105g",255000,1,"600","600700","600700001",0,0,709,19
159525323,4180346,"부산 새제품 PC 컴퓨터 본체 모니터 부품 조립 당일 조립 발송 가능.","게임용컴퓨터,배틀그라운드,리그오브레전드,부산컴퓨터,사무용컴퓨터",290000,2,"600","600100","600100006",1,0,1361,13
156397485,74544224,"그랜저HG 팝니다.","그랜저,그랜저hg,그랜저HG,그랜저Hg,그랜저중고차",8100000,1,"750","750200","750200300",0,0,1090,17
162705156,315781,"[후기좋아요!] i5-6세대 삼성 노트북3 15.6"" 램8 ssd250","삼성노트북3,i5,램8,삼성ssd250,15.6인치",450000,1,"600","600100","600100001",0,0,50,1
158064837,1462217,"제습기 7리터 20평","제습기,보랄더데일리,20~30평대,정품,무배",150000,2,"600","600400","600400003",0,0,626,20
162424799,851056,"삼성 SM6 판매합니다.","SM6,삼성,중고차,중고자동차,자동차",8300000,1,"750","750610","750610200",0,0,443,4
162396066,75666168,"1970년대 독일 나흐트만 블라이크리스탈 핸드메이드 와인잔/미사용","와인잔,유럽앤틱와인잔,크리스탈와인잔",25000,1,"800","800400","800400030",0,0,127,7
54107741,1266155,"신형 18k 24k 체인라인 용반지 특수도금 세공기법 초럭","18k,도금반지,용반지,24K,커플링",35000,2,"420","420200","420200400",5,26,143866,2754
68906863,653144,"[""중고정품""]30~500만원대 명품시계 처분","태그호이어,로렉스,해밀턴,프레드릭콘스탄트,오리스",1000000,1,"420","420100","420100200",7,135,180816,732
79230488,1358510,"[당일]전기종 머플러 모음집 아크라 포빅 요시무라 비슷한 모양","아크라포빅,아크라포빅머플러,짭크라,짭크라포빅,보이져머플러",90000,2,"750","750810","750810200",2,16,20750,256
152628113,2347538,"#당일발송#아이폰12미니(Mini) 64G/128G/256G 등급별초특가","아이폰12미니,아이폰12미니중고",500000,1,"600","600700","600700001",0,0,11898,527
163165984,11395264,"ㅅㅇㅈ","드라이버,골프웨어,타이틀리스트,pxg",15500,1,"700","700600","700600500",0,0,353,1
162995592,8806964,"월드페가수스 1루 미트 오더(새상품)","글러브,야구용품",390000,1,"700","700120","700120100",0,0,82,0
149150598,948674,"*당일발송*아이폰12PROMAX 최저가 판매","아이폰12,아이폰12미니,아이폰12pro,아이폰12프로,아이폰12프로맥스",1059000,1,"600","600700","600700001",0,0,7864,98
144592626,1462217,"18v 전동드릴 전동드릴 공구세트 함마드릴 전동드라이버 함마드릴","전동공구,보쉬전동드릴,디월트충전드릴,임팩드라이버,험마드릴",49000,2,"800","800500","800500100",0,0,6007,61
163025111,3682152,"갤럭시s9 (A급) 64GB 골드","갤럭시9,갤럭시s9",135000,1,"600","600700","600700001",0,0,69,6
161596311,10255755,"S10 5G  512GB  [크라운실버]  46430  (S급)","S105G,갤럭시S105G,s105g,갤럭시s105g,s105g실버",300000,1,"600","600700","600700001",0,0,400,13
161479711,10197556,"노트20 256기가 그레이 B급 48193","노트20,갤럭시노트20,note20",450000,1,"600","600700","600700001",0,0,1400,6
152625228,2347538,"#당일발송#갤럭시S9 64G 대량판매 등급별초특가!","s9중고폰,S9공기계,s9,갤럭시s9,갤럭시s9중고",180000,1,"600","600700","600700001",0,0,570,14
160703973,12851816,"#한정판매#갤럭시S8 블루 64GB 중고폰 공기계[84994]","갤럭시S8플러스,S8플러스블루,S8중고,S8공기계",175000,1,"600","600700","600700001",0,0,295,2
162893400,4183835,"프릴 BBY 수입 프리사이즈","바바리,야상,수입",87000,2,"310","310090","310090999",0,0,45,0
160438229,223348,"(가을에입기좋은 ) 아워베이직가디건","유아가디건,아기가디건",17900,2,"500","500113","500113005",0,0,521,13
162721528,8105166,"burberry london 버버리 투버튼 램스울 자켓","빈티지,버버리자켓,양모자켓,버버리런던,버버리양모자켓",58000,1,"320","320090","320090100",0,0,160,4
162194051,76633207,"아이폰12프로 특판공구 선착순할인가",,490000,2,"600","600700","600700001",0,0,2363,66
162258772,5077996,"(무료배송)1인용 , 2인용 호텔식이불 세트","호텔식이불,이불,간절기이불,겨울이불,사계절이불",150000,2,"810","810100","810100400",0,0,101,1
162262774,12851816,"#한정판매#갤럭시노트20울트라 A급 브론즈 256G중고폰공기[02111]","노트20울트라,노트20울중고,노트20울중고폰,노트20울공기계,직거래",725000,1,"600","600700","600700001",0,0,667,6
51504045,1266155,"18K 24K 하트통통팔찌 하트팔찌 금팔찌 금목걸이 금반지 순금팔찌 팔찌","도금,하트통통,발찌,금팔찌,순금팔찌",30000,2,"420","420200","420200999",1,2,31852,1136
80618553,5579889,"[M~2XL]  데일리 스판 남자  팬츠 9부 밴딩 바지6","M,남자밴딩스판팬츠,스판바지,밴딩스판바지,린넨바지",27000,2,"320","320120","320120999",0,3,23435,661
130376862,6948949,"( 국내1위 브랜드 ) 삼성 노트북 팝니다 ( 12대 한정 )","중고노트북,노트북,삼성노트북,삼성",159000,1,"600","600100","600100001",0,14,24203,504
