"imp_id","server_time_kst","bid_price","device_type"
"99d1612dd57f221eda40","2021-08-31T16:08:52.610+09:00","50","a"
"998c612dd8e900850c57","2021-08-31T16:23:40.487+09:00","50","a"
"97cf612dddc309f12e29","2021-08-31T16:44:10.589+09:00","55","a"
"998c612dde02009a444d","2021-08-31T16:47:54.768+09:00","80","a"
"998c612dd9190085dce1","2021-08-31T16:28:50.158+09:00","50","a"
"971a612dde250ead96e5","2021-08-31T16:46:10.069+09:00","50","a"
"9919612dde8c22379354","2021-08-31T16:47:28.974+09:00","55","a"
"9919612dd94e2221e396","2021-08-31T16:25:22.234+09:00","50","a"
"998c612ddf21009eea38","2021-08-31T16:50:09.798+09:00","50","a"
"97f9612ddf12165fb058","2021-08-31T16:51:53.028+09:00","50","a"
"998c612dd5940077509a","2021-08-31T16:09:16.859+09:00","55","a"
"971a612dd5a00e8a5b17","2021-08-31T16:10:38.668+09:00","50","a"
"99d1612dd5e622207dad","2021-08-31T16:10:37.492+09:00","55","a"
"998c612ddfef00a225b0","2021-08-31T16:53:27.198+09:00","50","a"
"97cf612de0d809fdf03f","2021-08-31T16:57:17.131+09:00","55","a"
"97cf612de0da09fdf7ac","2021-08-31T16:57:30.778+09:00","75","a"
"97cf612de13209ff65a1","2021-08-31T16:58:57.209+09:00","60","a"
"998c612dd88800836380","2021-08-31T16:21:52.734+09:00","65","a"
"971a612de1290eba01ed","2021-08-31T16:58:40.483+09:00","50","a"
"99d1612ddc08223a073b","2021-08-31T16:36:46.887+09:00","50","a"
"97cf612dd3dc09c879d5","2021-08-31T16:02:34.018+09:00","50","a"
"97cf612ddc1409ea55c7","2021-08-31T16:38:17.277+09:00","50","a"
"971a612dd5e60e8b6838","2021-08-31T16:11:59.008+09:00","55","a"
"97cf612dd64a09d2012c","2021-08-31T16:12:45.960+09:00","50","a"
"998c612dd5f50078d949","2021-08-31T16:10:49.629+09:00","50","a"
"9919612dd6f522180d90","2021-08-31T16:16:22.774+09:00","60","a"
"998c612dd729007dbb91","2021-08-31T16:15:58.493+09:00","50","a"
"97ca612daeba124da54d","2021-08-31T16:52:37.058+09:00","70","a"
"97f9612dd7f316422e68","2021-08-31T16:23:13.589+09:00","60","a"
"99d1612dd916222db193","2021-08-31T16:24:12.389+09:00","55","a"
"971a612dd4f20e87b3c9","2021-08-31T16:06:31.964+09:00","50","a"
"97f9612dd961164843bb","2021-08-31T16:26:54.945+09:00","50","a"
"97f9612ddb2a164fb612","2021-08-31T16:33:34.127+09:00","50","a"
"99d1612dd3cd22187b1f","2021-08-31T16:02:14.286+09:00","280","a"
"99d1612de0a9224d4802","2021-08-31T16:59:24.484+09:00","50","a"
"998c612ddd2d0096ca4f","2021-08-31T16:45:05.155+09:00","55","a"
"998c612ddb1a008e5ecb","2021-08-31T16:32:48.260+09:00","50","a"
"9919612ddb1d22296c10","2021-08-31T16:34:27.269+09:00","55","a"
"971a612dd62f0e8c9cc2","2021-08-31T16:11:54.459+09:00","50","a"
"97cf612ddb6509e7701c","2021-08-31T16:34:06.024+09:00","50","a"
"998c612dd45200726101","2021-08-31T16:03:53.869+09:00","50","a"
"971a612ddc1a0ea5494d","2021-08-31T16:37:02.967+09:00","50","a"
"9919612ddbf8222ce754","2021-08-31T16:37:15.693+09:00","50","a"
"971a612dd7180e903e54","2021-08-31T16:17:14.311+09:00","50","a"
"998c612ddb1b008e62e0","2021-08-31T16:33:18.941+09:00","50","a"
"971a612dd5e60e8b6833","2021-08-31T16:10:37.155+09:00","55","a"
"998c612ddab9008ccef4","2021-08-31T16:34:47.010+09:00","385","a"
"971a612ddc770ea6cccc","2021-08-31T16:39:06.619+09:00","80","a"
"97cf612de1d80a021698","2021-08-31T17:01:37.820+09:00","50","a"
"97f9612dd8b916457164","2021-08-31T16:23:01.427+09:00","55","a"
"99d1612ddeeb224601ae","2021-08-31T16:49:13.708+09:00","55","a"
"971a612ddb730ea2a80f","2021-08-31T16:34:32.902+09:00","50","a"
"99d1612ddf1d2246dce1","2021-08-31T16:50:02.200+09:00","50","a"
"97cf612dd9d909e0eefd","2021-08-31T16:27:43.448+09:00","50","a"
"971a612dd9e90e9c33d3","2021-08-31T16:27:53.993+09:00","60","a"
"97cf612ddfc809f99cd1","2021-08-31T16:54:53.061+09:00","55","a"
"99d1612dd9aa22302096","2021-08-31T16:29:37.238+09:00","365","a"
"97f9612ddfe81663293e","2021-08-31T16:53:40.837+09:00","100","a"
"97cf612ddb5709e73f87","2021-08-31T16:39:08.779+09:00","50","a"
"99d1612ddce8223d8cdd","2021-08-31T16:40:47.305+09:00","50","a"
"971a612dd5ba0e8ac63f","2021-08-31T16:09:56.255+09:00","55","a"
"9919612dd6e02217b97f","2021-08-31T16:20:29.317+09:00","50","a"
"9919612ddce12230ab94","2021-08-31T16:40:45.794+09:00","50","a"
"971a612ddc660ea68a16","2021-08-31T16:38:21.078+09:00","50","a"
"99d1612dd583221ef1d4","2021-08-31T16:08:57.472+09:00","50","a"
"9919612dde2f22360fb4","2021-08-31T16:46:02.736+09:00","60","a"
"97f9612dd654163b6dd1","2021-08-31T16:12:30.828+09:00","50","a"
"97f9612ddc1016534962","2021-08-31T16:38:13.473+09:00","60","a"
"99d1612dd958222ec84a","2021-08-31T16:25:41.981+09:00","60","a"
"99d1612de037224b6bda","2021-08-31T16:54:38.532+09:00","60","a"
"99d1612ddef122461ffe","2021-08-31T16:49:10.682+09:00","50","a"
"9919612ddec92238859a","2021-08-31T16:48:31.170+09:00","55","a"
"99d1612de07f224c9714","2021-08-31T16:56:02.871+09:00","50","a"
"9919612dd3a5220b4357","2021-08-31T16:12:31.360+09:00","50","a"
"99d1612dde9922449c69","2021-08-31T16:47:50.219+09:00","50","a"
"97cf612ddde009f1b936","2021-08-31T16:45:56.681+09:00","50","a"
"97cf612dd70609d4efc1","2021-08-31T16:22:23.539+09:00","50","a"
"998c612dd93d00867648","2021-08-31T16:24:50.608+09:00","60","a"
"9919612de090223fb7e5","2021-08-31T16:56:29.357+09:00","95","a"
