"user_id","gender","age","following_cnt","pay_count","parcel_post_count","transfer_count","chat_count"
11210874,"1",24,3,0,0,0,0
10032209,"1",18,1,0,0,0,1
10175954,"1",32,2,3,0,0,1
10671122,"1",16,1,4,17,0,0
10539737,"1",24,7,0,0,0,0
10761971,"0",0,0,0,0,0,0
9713723,"1",41,2,0,0,0,0
10714146,"1",37,0,0,0,0,0
10730082,"1",41,1,0,0,0,0
9761819,"1",27,0,0,0,0,0
900833,"0",0,0,0,0,0,0
912897,"1",29,3,0,0,0,0
10863499,"1",25,1,2,0,0,0
10893435,"2",45,2,0,0,0,0
10613049,"2",22,2,2,0,0,0
953793,"1",26,8,1,4,0,0
10639057,"2",32,3,0,0,0,0
10171993,"2",41,4,0,0,0,0
10920739,"0",0,1,0,0,0,0
10337659,"1",46,1,1,1,0,0
10948555,"0",0,0,0,0,0,0
993409,"1",41,1,2,0,0,0
10324362,"0",0,0,0,0,0,0
11188705,"1",16,1,0,0,0,0
10989899,"2",20,0,1,1,0,6
11014515,"0",0,0,0,0,0,0
937161,"1",45,0,0,0,0,0
10340938,"1",19,4,0,0,0,0
10003883,"2",43,34,0,0,0,0
9877618,"0",0,1,0,0,0,0
775363,"1",28,31,0,25,0,2
9891418,"0",0,0,0,0,0,0
10373618,"1",32,1,0,1,0,0
10184409,"1",37,0,0,0,0,0
11106995,"0",0,2,0,0,0,0
10580451,"0",0,0,0,0,0,0
10152531,"1",30,0,1,2,0,1
11211411,"2",33,0,1,0,0,0
10758682,"1",25,0,0,0,0,0
10203379,"0",0,1,0,0,0,0
9696738,"1",44,10,2,0,0,17
10702761,"1",16,1,0,0,0,0
515738,"1",26,0,0,1,0,0
504052,"1",25,3,2,0,0,3
9712914,"2",60,0,0,0,0,0
10705779,"0",0,0,0,0,0,0
9732676,"1",37,0,0,0,0,0
10722675,"1",20,3,0,0,0,0
10269922,"1",49,7,0,0,0,0
10880866,"0",0,0,0,0,0,0
9739242,"0",0,1,0,0,0,0
562042,"1",33,1,0,0,0,0
794730,"1",45,6,0,0,0,0
9809834,"2",29,2,0,0,0,0
10285922,"1",32,1,0,0,0,0
10288578,"1",40,0,0,0,0,0
10907370,"1",31,0,0,0,0,0
10864308,"2",34,0,6,18,0,2
10872172,"1",53,1,7,0,0,0
10253324,"1",27,4,3,0,0,1
10890764,"1",45,1,0,0,0,0
10303764,"1",28,14,0,0,0,0
828914,"1",30,4,3,1,1,0
9808306,"0",0,3,0,0,0,0
10891938,"1",22,1,0,0,0,0
9876202,"1",32,0,0,0,0,1
9833746,"0",0,0,0,0,0,0
9834034,"2",57,0,0,0,0,0
11113826,"1",41,1,0,0,0,0
873554,"1",25,1,0,0,0,0
10364578,"0",0,3,0,0,0,0
669700,"1",40,2,0,0,0,0
9904954,"1",44,0,0,0,0,0
699716,"1",25,0,2,0,0,1
10995388,"0",0,2,0,0,0,0
11001244,"0",0,0,0,0,0,0
11004748,"1",35,1,0,0,0,0
11019932,"1",16,0,0,0,0,2
11135730,"2",18,0,0,0,0,0
11025308,"0",0,0,0,0,0,0
11064660,"1",27,0,1,0,0,0
9993372,"1",15,0,0,0,0,0
10349978,"2",35,2,0,0,0,0
9883730,"0",0,1,0,0,0,0
11028546,"1",55,9,4,2,0,1
10447116,"1",25,1,0,0,0,0
9987562,"1",24,8,1,1,0,0
784882,"0",0,5,0,0,0,0
798812,"0",0,1,0,0,0,0
10945730,"2",45,0,0,0,0,0
10950362,"1",38,0,2,0,0,1
11058194,"1",54,0,0,0,0,0
10024762,"2",53,1,0,0,0,0
10979450,"1",32,4,17,0,0,18
10053388,"0",0,2,0,0,0,0
10507378,"2",43,0,0,0,0,0
11076802,"1",44,4,0,0,0,0
11002778,"1",28,0,1,0,0,0
11192386,"1",30,0,0,0,0,0
11113314,"0",0,4,0,0,0,0
10555178,"0",0,0,0,0,0,0
880666,"1",22,9,1,0,0,0
10566450,"1",26,0,1,2,0,0
10576986,"1",34,0,0,0,0,0
898426,"0",0,1,0,0,0,0
10123602,"0",0,1,0,0,0,0
10589042,"0",0,0,0,0,0,0
10591298,"1",38,0,0,0,0,0
10599346,"1",19,0,0,0,0,0
10146634,"1",41,0,0,0,0,0
10576668,"1",38,4,3,0,0,0
11226754,"1",15,1,0,0,0,0
11205650,"0",0,0,0,0,0,0
11234794,"1",18,0,1,0,0,0
11256524,"2",32,15,0,0,0,0
10219196,"1",25,2,1,1,0,2
10069362,"1",24,0,0,0,0,0
9713877,"0",0,0,0,0,0,0
9723845,"0",0,0,0,0,0,0
501515,"1",25,2,0,0,0,7
10796123,"0",0,0,0,0,0,0
10797283,"1",35,0,0,0,0,0
10800403,"1",53,0,0,0,0,1
10730898,"2",36,0,6,82,2,0
537509,"2",28,0,15,0,0,0
9827611,"0",0,0,0,0,0,0
9831859,"0",0,4,0,0,0,0
10870931,"1",17,0,0,0,0,0
10585498,"1",27,0,0,0,0,0
10756595,"0",0,2,0,0,0,0
11160650,"0",0,0,0,0,0,0
10908067,"1",43,1,0,0,0,0
10909499,"1",16,0,0,0,0,0
10602818,"1",45,0,0,0,0,0
11186242,"1",31,0,0,0,0,0
10923299,"1",49,0,1,2,0,0
653459,"0",0,83,0,0,0,0
10357779,"1",22,6,0,0,0,0
10707546,"1",15,0,0,0,0,6
10984797,"1",55,0,0,0,0,0
679405,"1",35,5,2,0,0,1
10357357,"2",69,0,0,0,0,0
737781,"1",26,43,0,0,0,0
10232763,"0",0,0,0,0,0,0
762685,"1",23,4,1,1,0,1
9991381,"0",0,0,0,0,0,0
9996229,"1",43,0,0,0,0,0
10830483,"0",0,0,0,0,0,0
10020765,"1",16,0,0,0,0,0
800829,"2",23,1,0,1,0,0
10264003,"1",33,1,0,0,0,0
11247506,"1",49,3,0,0,0,0
10033525,"1",29,1,0,0,0,0
804573,"1",42,1,0,0,0,0
11125277,"1",18,0,0,0,0,0
11125477,"1",44,7,0,0,0,0
10462885,"2",24,8,0,0,0,0
10055837,"1",66,0,1,0,0,0
10475501,"1",34,0,0,0,0,0
10069901,"2",26,0,2,0,0,0
9866787,"1",21,3,1,0,0,0
11180677,"0",0,0,0,0,0,0
10919683,"0",0,0,0,0,0,0
10919715,"0",0,5,0,0,0,0
11184957,"0",0,1,0,0,0,0
9900091,"1",17,0,0,0,1,0
11192197,"1",45,0,0,0,0,0
869093,"1",42,6,0,0,0,0
9920171,"0",0,3,0,0,0,1
881413,"1",31,2,0,0,0,0
10524845,"1",20,0,1,0,0,0
994818,"1",33,7,0,0,0,0
9710147,"1",18,18,1,0,0,1
10971259,"0",0,5,0,0,0,0
10713562,"0",0,0,0,0,0,0
10166325,"1",36,6,3,0,0,0
10171197,"1",22,1,1,0,0,0
10206317,"1",40,3,0,0,0,0
11075443,"1",34,0,0,0,0,0
787691,"1",40,13,1,0,0,0
565854,"1",27,1,2,8,0,0
10730517,"1",19,0,0,0,0,0
624766,"0",0,0,0,0,0,0
10268454,"1",42,4,0,0,0,1
9886230,"1",39,0,0,0,0,0
11023446,"0",46,0,0,0,0,0
696542,"1",59,3,0,0,0,0
10974179,"1",42,24,0,0,0,0
10390219,"1",32,0,0,1,1,1
10995595,"1",26,1,0,0,0,0
9873939,"0",0,0,0,0,0,0
11009443,"0",0,3,0,0,0,0
732531,"1",27,0,11,89,6,3
734963,"1",51,0,0,0,0,0
738118,"1",38,0,0,0,0,0
9969958,"1",17,1,2,0,0,0
827115,"1",24,0,36,0,0,13
634971,"1",36,11,0,0,0,0
737683,"1",42,4,0,0,1,0
10438635,"1",44,0,0,0,1,0
10357702,"0",0,0,0,0,0,0
10035403,"2",44,1,3,0,0,0
9910171,"1",58,1,0,0,0,0
11117355,"1",58,0,1,1,0,0
11189262,"1",24,4,0,0,0,0
9923483,"1",45,0,0,0,0,0
10369315,"2",30,0,1,0,0,0
10083027,"1",17,2,0,0,0,0
10089779,"1",23,3,5,0,0,0
10757519,"1",18,0,1,0,0,0
871923,"1",48,0,0,0,0,0
10456062,"2",20,0,0,0,0,0
10477470,"0",0,4,0,0,0,0
882163,"2",23,0,2,0,0,0
10588811,"1",38,2,0,0,0,0
10113907,"0",0,0,0,0,0,0
10129654,"1",59,1,3,0,0,2
10505614,"1",31,0,0,0,0,0
10883647,"1",23,0,1,2,0,0
758811,"2",40,4,0,17,0,0
10690627,"1",39,1,0,0,0,0
10783372,"0",0,0,0,0,0,0
513988,"1",22,6,1,0,0,0
10462299,"1",35,0,1,2,0,1
10208054,"1",20,0,1,2,0,0
560356,"0",0,46,0,0,1,0
10745459,"1",27,2,0,0,0,0
9766020,"2",22,0,0,0,0,1
10955911,"0",0,9,0,0,0,0
9704839,"1",33,0,0,0,0,0
10253268,"1",34,0,0,0,0,0
9804028,"2",24,0,0,0,0,0
11173883,"0",0,1,0,0,0,0
9730623,"2",27,6,0,0,0,0
10628246,"2",32,0,0,0,0,0
645396,"1",27,2,0,0,0,2
891147,"1",33,4,0,0,0,0
10637062,"0",0,0,0,0,0,0
894411,"1",68,3,0,1,0,0
9746239,"1",18,1,5,0,0,1
11038407,"1",16,0,0,0,0,0
10522331,"1",47,1,4,0,0,0
11116543,"1",46,1,0,0,0,0
11218507,"2",17,0,1,0,0,0
11127263,"1",27,3,0,0,0,0
831451,"1",37,0,0,0,0,0
10533515,"1",14,0,0,0,0,0
994539,"2",25,1,0,0,0,0
10697643,"1",33,1,2,0,0,0
10561867,"1",14,2,0,0,0,0
9868759,"0",0,0,0,0,0,0
11239935,"1",25,1,0,0,0,0
9941847,"0",0,2,0,0,0,0
731343,"1",27,14,0,0,3,0
9806636,"0",0,2,0,0,0,0
10256268,"0",0,0,0,0,0,0
10334655,"1",21,0,0,0,0,0
1053640,"1",29,16,0,0,0,0
10933796,"1",35,0,0,0,0,0
1093144,"1",47,1,3,0,0,4
10631811,"2",41,1,0,0,0,0
10636019,"2",31,2,0,0,0,0
812015,"1",33,0,1,0,0,3
828303,"1",34,3,0,2,0,0
10181083,"1",17,0,0,0,0,0
10100943,"1",65,0,2,0,0,0
9872060,"1",37,0,0,0,0,40
10467935,"0",0,3,0,0,0,0
659692,"1",43,3,1,89,0,4
10506911,"0",0,0,0,0,0,0
897615,"1",23,0,0,0,0,0
11250811,"1",32,0,0,0,0,0
10971468,"1",42,0,1,0,0,0
959643,"0",0,3,0,0,0,0
1292752,"1",27,109,0,88,0,3
10346804,"2",34,0,1,3,0,0
10996796,"2",41,0,0,0,0,0
501772,"1",28,1,0,0,0,0
9715364,"2",28,0,1,0,1,1
519180,"1",37,4,0,0,0,0
9731620,"0",0,0,0,0,0,0
11069252,"0",0,0,0,0,0,0
11074572,"0",0,1,0,0,0,0
10471508,"1",14,2,0,0,0,0
10749131,"1",36,2,1,0,0,0
10749683,"0",0,0,0,0,0,0
10481660,"1",21,0,1,0,0,2
11150300,"1",17,1,0,0,0,1
885060,"1",47,7,11,0,0,24
